seed,backbone,method,kstar
43,AFM,UNI_glob,0.25
43,B_blind,Steck-a,
44,B_blind,BASE,
44,B_blind,SIT,0.1
44,B_blind,Steck-b,0.25
44,B_blind,UNI_mean,1.5
44,B_blind,UNI_glob,0.05
44,B_full,BASE,
44,B_full,SIT,0.05
44,B_full,Steck-b,0.25
44,B_full,UNI_mean,1.5
44,B_full,UNI_glob,0.05
44,EASE,BASE,
44,EASE,SIT,0.05
44,EASE,Steck-b,0.05
44,EASE,UNI_mean,0.05
44,EASE,UNI_glob,0.5
44,SASRec,BASE,
44,SASRec,SIT,0.05
44,SASRec,Steck-b,0.05
44,SASRec,UNI_mean,1.0
44,SASRec,UNI_glob,0.05
44,FPMC,BASE,
44,FPMC,SIT,0.05
44,FPMC,Steck-b,0.1
44,FPMC,UNI_mean,2.0
44,FPMC,UNI_glob,0.05
44,DeepFM,BASE,
44,DeepFM,SIT,0.25
44,DeepFM,Steck-b,0.25
44,DeepFM,UNI_mean,2.0
44,DeepFM,UNI_glob,0.05
44,AFM,BASE,
44,AFM,SIT,0.25
44,AFM,Steck-b,0.25
44,AFM,UNI_mean,2.0
44,AFM,UNI_glob,0.25
44,B_blind,Steck-a,
45,B_blind,BASE,
45,B_blind,SIT,0.1
45,B_blind,Steck-b,0.25
45,B_blind,UNI_mean,1.5
45,B_blind,UNI_glob,0.05
45,B_full,BASE,
45,B_full,SIT,0.05
45,B_full,Steck-b,0.25
45,B_full,UNI_mean,0.75
45,B_full,UNI_glob,0.05
45,EASE,BASE,
45,EASE,SIT,0.05
45,EASE,Steck-b,0.05
45,EASE,UNI_mean,0.05
45,EASE,UNI_glob,0.5
45,SASRec,BASE,
45,SASRec,SIT,0.05
45,SASRec,Steck-b,0.05
45,SASRec,UNI_mean,1.0
45,SASRec,UNI_glob,0.05
45,FPMC,BASE,
45,FPMC,SIT,0.05
45,FPMC,Steck-b,0.1
45,FPMC,UNI_mean,2.0
45,FPMC,UNI_glob,0.05
45,DeepFM,BASE,
45,DeepFM,SIT,0.25
45,DeepFM,Steck-b,0.25
45,DeepFM,UNI_mean,2.0
45,DeepFM,UNI_glob,0.05
45,AFM,BASE,
45,AFM,SIT,0.25
45,AFM,Steck-b,0.25
45,AFM,UNI_mean,2.0
45,AFM,UNI_glob,0.25
45,B_blind,Steck-a,
46,B_blind,BASE,
46,B_blind,SIT,0.1
46,B_blind,Steck-b,0.25
46,B_blind,UNI_mean,1.5
46,B_blind,UNI_glob,0.05
46,B_full,BASE,
46,B_full,SIT,0.1
46,B_full,Steck-b,0.1
46,B_full,UNI_mean,0.25
46,B_full,UNI_glob,0.05
46,EASE,BASE,
46,EASE,SIT,0.05
46,EASE,Steck-b,0.05
46,EASE,UNI_mean,0.05
46,EASE,UNI_glob,0.5
46,SASRec,BASE,
46,SASRec,SIT,0.05
46,SASRec,Steck-b,0.05
46,SASRec,UNI_mean,1.0
46,SASRec,UNI_glob,0.05
46,FPMC,BASE,
46,FPMC,SIT,0.05
46,FPMC,Steck-b,0.1
46,FPMC,UNI_mean,2.0
46,FPMC,UNI_glob,0.05
46,DeepFM,BASE,
46,DeepFM,SIT,0.25
46,DeepFM,Steck-b,0.25
46,DeepFM,UNI_mean,2.0
46,DeepFM,UNI_glob,0.05
46,AFM,BASE,
46,AFM,SIT,0.25
46,AFM,Steck-b,0.25
46,AFM,UNI_mean,2.0
46,AFM,UNI_glob,0.25
46,B_blind,Steck-a,
